date,white_1,white_2,white_3,white_4,white_5,powerball
"Saturday, 11/15/25",6,7,12,47,53,21
"Wednesday, 11/12/25",29,39,43,51,65,23
"Monday, 11/10/25",6,28,44,48,58,23
"Saturday, 11/8/25",3,53,60,62,68,11
"Wednesday, 11/5/25",9,17,29,61,66,26
"Monday, 11/3/25",3,32,40,43,57,18
"Saturday, 11/1/25",2,26,43,44,62,22
"Wednesday, 10/29/25",4,24,49,60,65,1
"Monday, 10/27/25",17,39,43,51,66,20
"Saturday, 10/25/25",2,12,22,39,67,15
"Wednesday, 10/22/25",18,37,52,54,60,12
"Monday, 10/20/25",32,38,66,67,69,19
"Saturday, 10/18/25",3,11,27,40,58,10
"Wednesday, 10/15/25",10,13,28,34,47,15
"Monday, 10/13/25",13,14,32,52,64,12
"Saturday, 10/11/25",13,16,18,20,27,10
"Wednesday, 10/8/25",8,10,44,48,54,14
"Monday, 10/6/25",28,29,32,66,67,3
"Saturday, 10/4/25",3,7,47,67,68,2
"Wednesday, 10/1/25",8,17,22,28,55,14
"Monday, 9/29/25",1,3,27,60,65,16
"Saturday, 9/27/25",10,16,32,61,66,4
"Wednesday, 9/24/25",15,31,45,49,53,19
"Monday, 9/22/25",3,29,42,46,59,15
"Saturday, 9/20/25",15,29,64,66,67,4
"Wednesday, 9/17/25",7,30,50,54,62,20
"Monday, 9/15/25",14,15,32,42,49,1
"Saturday, 9/13/25",28,37,42,50,53,19
"Wednesday, 9/10/25",2,24,45,53,64,5
"Monday, 9/8/25",26,28,41,53,64,9
"Saturday, 9/6/25",11,23,44,61,62,17
"Wednesday, 9/3/25",3,16,29,61,69,22
"Monday, 9/1/25",8,23,25,40,53,5
"Saturday, 8/30/25",3,18,22,27,33,17
"Wednesday, 8/27/25",9,12,22,41,61,25
"Monday, 8/25/25",16,19,34,37,64,22
"Saturday, 8/23/25",11,14,34,47,51,18
"Wednesday, 8/20/25",31,59,62,65,68,5
"Monday, 8/18/25",15,46,61,63,64,1
"Saturday, 8/16/25",23,40,49,65,69,23
"Wednesday, 8/13/25",4,11,40,44,50,4
"Monday, 8/11/25",6,16,33,40,62,2
"Saturday, 8/9/25",7,14,23,24,60,14
"Wednesday, 8/6/25",15,27,43,45,53,9
"Monday, 8/4/25",8,9,19,31,38,21
"Saturday, 8/2/25",6,18,34,35,36,2
"Wednesday, 7/30/25",4,15,35,50,64,8
"Monday, 7/28/25",7,35,36,43,62,3
"Saturday, 7/26/25",8,31,57,65,67,23
"Wednesday, 7/23/25",2,18,19,25,35,25
"Monday, 7/21/25",8,11,28,33,42,2
"Saturday, 7/19/25",28,48,51,61,69,20
"Wednesday, 7/16/25",4,21,43,48,49,22
"Monday, 7/14/25",8,12,45,46,63,24
"Saturday, 7/12/25",8,16,24,33,54,18
"Wednesday, 7/9/25",5,9,25,28,69,5
"Monday, 7/7/25",33,35,58,61,69,25
"Saturday, 7/5/25",1,28,34,50,58,8
"Wednesday, 7/2/25",7,19,21,54,63,21
"Monday, 6/30/25",13,28,44,52,55,6
"Saturday, 6/28/25",4,35,43,52,62,12
"Wednesday, 6/25/25",2,12,37,51,61,22
"Monday, 6/23/25",5,25,42,44,65,20
"Saturday, 6/21/25",3,16,32,52,62,24
"Wednesday, 6/18/25",23,29,50,64,67,11
"Monday, 6/16/25",17,21,23,27,52,19
"Saturday, 6/14/25",4,6,9,23,59,25
"Wednesday, 6/11/25",13,25,29,37,53,3
"Monday, 6/9/25",30,33,40,43,52,25
"Saturday, 6/7/25",31,36,43,48,62,25
"Wednesday, 6/4/25",5,17,23,35,45,24
"Monday, 6/2/25",1,7,44,57,61,21
"Saturday, 5/31/25",1,29,37,56,68,13
"Wednesday, 5/28/25",23,27,32,35,59,11
"Monday, 5/26/25",13,47,52,64,67,25
